record_id,external_station_id,candidate_rank,match_score,score_margin,match_method,distance_m,operator_match,postcode_match,address_token_overlap,shared_address_token_count,power_compatible,input_operator,external_operator,input_address,input_power_kw,input_plug_count,external_title,external_address_line_1,external_address_line_2,external_town,external_postcode,connector_types,external_power_kw_values,external_connection_quantity,external_number_of_points,external_status,external_usage_type,external_usage_cost,external_last_verified,data_provider,suggested_decision,suggested_reason,review_decision,review_notes
ev_e795ae9310df33c9b9f8840aea501aec56db120b534e345b0fc6a3d5ce041b7b,272521,1,15,12,operator_postcode_address,65.1,True,True,0.5,1,False,BP,BP Pulse (AU),"01 Wallgrove Road, Sydney, 2766",150.0,4,BP Pulse Eastern Creek,BP Truckstop,Wallgrove Road & Old Wallgrove Road,Eastern Creek,2766,CCS (Type 2),75,1,2,Operational,Public - Membership Required,$0.55/kWh,2023-08-09T12:21:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_e795ae9310df33c9b9f8840aea501aec56db120b534e345b0fc6a3d5ce041b7b,204317,2,3,,rejected_candidate,2639.7,False,True,0.0,0,False,BP,(Unknown Operator),"01 Wallgrove Road, Sydney, 2766",150.0,4,ECQ XL,Easter Creek Quarter XL,Goldsboro Glade,Eastern Creek ,2766,Type 2 (Socket Only),11,4,4,Operational,Public,Free,2022-09-27T09:00:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_e795ae9310df33c9b9f8840aea501aec56db120b534e345b0fc6a3d5ce041b7b,212646,3,3,,rejected_candidate,2933.7,False,True,0.0,0,False,BP,Chargefox,"01 Wallgrove Road, Sydney, 2766",150.0,4,Eastern Creek Quarter,159 Rooty Hill Road South,Outside Gym,Eastern Creek,2766,Type 2 (Socket Only),7.3,4,4,Operational,Public - Membership Required,Free,2023-01-22T20:10:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_92a54038955adbf16c92062ab57a4b497be32cb889fcc2b6cb5d53a12c433e0c,190678,1,13,4,operator_postcode_address,797549.3,True,True,1.0,4,False,NRMA,NRMA,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",50.0,4,Wilcannia [NRMA],1-7 Ross St,,Wilcannia,2836,CCS (Type 2) | CHAdeMO,75,2,1,Operational,Public,,2022-05-04T03:08:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_postcode_address.,,
ev_92a54038955adbf16c92062ab57a4b497be32cb889fcc2b6cb5d53a12c433e0c,170824,2,9,,rejected_candidate,29.2,True,False,0.0,0,True,NRMA,NRMA,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",50.0,4,Armidale Visitors Centre,82 Marsh Street,,Armidale,2350,CCS (Type 2) | CHAdeMO,50,2,1,Operational,Public,Currently free but will be fee at some point.,2020-12-11T13:42:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_92a54038955adbf16c92062ab57a4b497be32cb889fcc2b6cb5d53a12c433e0c,460615,3,1,,rejected_candidate,571.4,False,False,0.0,0,False,NRMA,Tesla (including non-tesla),"1 - 7 Ross St, Wilcannia NSW 2836, Australia",50.0,4,Tesla Supercharger Armidale,117 Jessie Street,,Armidale,,CCS (Type 2),250,4,4,Operational,Public - Membership Required,,2025-09-01T05:09:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_92a54038955adbf16c92062ab57a4b497be32cb889fcc2b6cb5d53a12c433e0c,274592,4,1,,rejected_candidate,615.9,False,False,0.0,0,False,NRMA,(Business Owner at Location),"1 - 7 Ross St, Wilcannia NSW 2836, Australia",50.0,4,Cedar Lodge Motel,119 Barney Street,,Armidale,2350,Type 2 (Socket Only),7,2,2,Operational,"Private - For Staff, Visitors or Customers",$15 for guest who do not book direct.  Free for guest who book direct.,2023-10-09T02:47:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,100404,1,15,1,operator_address_power,57.3,True,False,1.0,2,True,Tesla,Tesla (Tesla-only charging),"1 Bay St, Sydney, 2037",130.0,16,Broadway Supercharger,1 Bay Street,,Broadway,2007,CCS (Type 2),120,8,8,Operational,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars,2025-03-21T01:01:00Z,Open Charge Map Contributors,auto_accept,High-confidence top candidate selected by operator_address_power.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,311308,2,14,,rejected_candidate,19.4,True,False,1.0,2,False,Tesla,Tesla (including non-tesla),"1 Bay St, Sydney, 2037",130.0,16,Tesla Destination Charger,1 Bay Street,,Broadway,2007,CCS (Type 2),22,3,3,Operational,Public,0,2025-03-29T03:34:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,121552,3,9,,rejected_candidate,157521.9,True,False,0.5,1,True,Tesla,Tesla (including non-tesla),"1 Bay St, Sydney, 2037",130.0,16,Bathurst Supercharger,1 Kendall Ave,,Bathurst,,CCS (Type 2),120,6,6,Operational,Public - Membership Required,AUD 0.66/kWh;other tariffs for older cars,2023-06-06T12:12:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,308829,4,9,,rejected_candidate,696364.6,True,False,0.5,1,True,Tesla,Tesla (including non-tesla),"1 Bay St, Sydney, 2037",130.0,16,Tesla Supercharger Runaway Bay,Lae Drive,,Runaway Bay,,CCS (Type 2),100,6,6,Operational,Public - Membership Required,,2025-03-04T03:29:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
