record_id,OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,missing_region_metadata,power_kw,power_format,operator_raw,operator_standardized,operator_needs_review,source_file,shared_coordinates,shared_address_operator,potential_duplicate_review,postcode_from_address,postcode_check,postcode_standardized,postcode_source,postcode_needs_review,postcode_resolution,charger_type_standardized,status_from_type
ev_35fd7b517c13af2f3539c4e4bf763c10205c189b8da6e626534017d6485fb250,,,", Muswellbrook, 2333",EVUp,2,AC,22 kW,-32.26224229,150.8901391,Muswellbrook Shire Council,2333,Existing Destination Chargers,False,22.0,single_kw,EVUp,EVUp,False,ev_20251216.csv,False,False,False,,no_address_candidate,2333,PCODE,False,existing_retained,AC,not_specified
ev_e795ae9310df33c9b9f8840aea501aec56db120b534e345b0fc6a3d5ce041b7b,,,"01 Wallgrove Road, Sydney, 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,False,150.0,single_kw,BP,BP,False,ev_20251216.csv,False,False,False,,no_address_candidate,2766,PCODE,False,existing_retained,DC,not_specified
ev_92a54038955adbf16c92062ab57a4b497be32cb889fcc2b6cb5d53a12c433e0c,,,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional,False,50.0,single_kw,NRMA,NRMA,False,ev_20251216.csv,False,False,False,2836,conflicts_with_existing,,,True,value_conflict,DC,not_specified
ev_3da79c501d7974c4467f521947a6948bf95b2e22c608821689fae49c2c5806ca,,,"1 Balfour St, Sydney, 2070",Chargefox,7,AC,22 kW,-33.77410115,151.167035,Ku-ring-gai Council,2070,Existing Destination Chargers,False,22.0,single_kw,Chargefox,Chargefox,False,ev_20251216.csv,False,False,False,,no_address_candidate,2070,PCODE,False,existing_retained,AC,not_specified
ev_1db50d53783f3bb52cca4274ed47e15067c953845d5380672f6912782c9785d8,,,"1 Bay Ln, Byron Bay, 2481",Tesla,2,AC,19 kW,-28.64181886,153.6136326,Byron Shire Council,2481,Existing Destination Chargers,False,19.0,single_kw,Tesla,Tesla,False,ev_20251216.csv,False,False,False,,no_address_candidate,2481,PCODE,False,existing_retained,AC,not_specified
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,,,"1 Bay St, Sydney, 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,False,130.0,single_kw,Tesla,Tesla,False,ev_20251216.csv,False,False,False,,no_address_candidate,2037,PCODE,False,existing_retained,DC,not_specified
ev_e277d9e717f28e9822fbbe62ef707efac7561fe9571da33ff2289a4ae24c0274,,,"1 Bells Blvd, Kingscliff, 2487",Evie,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,False,75.0,single_kw,Evie,Evie,False,ev_20251216.csv,False,False,False,,no_address_candidate,2487,PCODE,False,existing_retained,DC,not_specified
ev_f0f9273354e3dc18756094a1d0202744f7e8169806239b6679153a12e38186ab,,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84103708,151.2422452,Mosman Municipal Council,2088,Existing Destination Chargers,False,22.0,single_kw,Chargefox,Chargefox,False,ev_20251216.csv,False,True,True,,no_address_candidate,2088,PCODE,False,existing_retained,AC,not_specified
ev_eb43cbbb49fdca2aae8fb7a5c7dad4dda9a42876e92fd68d4c4b9f897f1262cb,,,"1 Bradleys Head Rd, Sydney, 2088",Chargefox,1,AC,22 kW,-33.84141846,151.2426306,Mosman Municipal Council,2088,Existing Destination Chargers,False,22.0,single_kw,Chargefox,Chargefox,False,ev_20251216.csv,False,True,True,,no_address_candidate,2088,PCODE,False,existing_retained,AC,not_specified
ev_f1d54ecdf9ce93b6d2d6f842d6692fbccb3a82b1f3f920e23821e6c7fdd22c61,,,"1 Cathedral Sq, Sydney, 2000",AXCharge,3,AC,22 kW,-33.87136841,151.2137407,"Sydney, Council of the City of",2000,Existing Destination Chargers,False,22.0,single_kw,AXCharge,AXCharge,False,ev_20251216.csv,False,False,False,,no_address_candidate,2000,PCODE,False,existing_retained,AC,not_specified
